Student_ID,历史,地理,语文,数学,物理,化学
1,74,72,70,67,65,63
2,68,70,68,62,64,61
3,85,82,84,75,77,74
4,77,75,78,69,70,68
5,80,77,81,63,65,62
6,72,70,69,65,63,60
7,78,75,77,70,68,69
8,73,71,72,66,65,63
9,69,68,67,74,72,71
10,84,81,83,64,63,62
11,82,80,81,75,77,76
12,76,74,75,68,67,66
13,75,73,74,67,65,66
14,89,86,88,79,82,80
15,71,68,70,73,74,72
16,67,65,66,64,62,61
17,81,80,82,66,68,67
18,85,83,84,70,73,71
19,78,76,79,65,67,64
20,73,71,74,76,75,77
21,79,78,81,68,66,65
22,66,64,65,82,80,81
23,77,74,76,77,78,76
24,68,66,67,83,82,84
25,82,80,79,69,70,68
26,81,79,80,64,63,65
27,76,74,75,78,79,77
28,75,72,74,85,86,88
29,70,68,69,71,70,72
30,78,77,79,67,68,66
